State,Hispanic % known Cases,Hispanic % known Death,Poulation,Obesity,Diabetes,Over60,Poverty,High_BP,CVD,Region,Race
Alabama,8.256376548,2.944997835,4.4,3.743646409,NA,1.3,24.4,2.782816229,NA,South,Hispanic
Alaska,11.61239079,1.818181818,7,6.383050847,NA,2.9,14.9,4.534591195,NA,West,Hispanic
Arizona,44.62260122,34.19689119,31.8,36.43525424,33.89676202,14.2,18.2,24.03127036,23.59354839,West,Hispanic
Arkansas,20.16139825,7.090464548,7.8,7.926145553,4.374196,2.1,20.1,3.852784504,NA,South,Hispanic
California,61.07297346,48.29853055,39.5,50.98255814,44.44394207,21.8,15,34.35387324,32.42537313,West,Hispanic
Colorado,44.26375432,23.64864865,21.8,28.36855895,26.64236338,10.9,14.3,19.02239382,17.07666667,West,Hispanic
Connecticut,27.89028391,8.978952082,16.9,19.18211679,15.23100095,6.8,22,13.57540984,11.94266667,Northeast,Hispanic
Delaware,24.94470774,7.704402516,9.7,9.786865672,5.331697543,3,21.1,5.725501433,2.878021978,South,Hispanic
District of Columbia,25.36706869,12.72141707,11.2,13.648583,10.19780134,6.1,8.9,3.901123596,NA,South,Hispanic
Florida,37.9881307,26.66326605,26.6,29.19934853,23.4189152,16.1,15.7,19.83468208,21.28,South,Hispanic
Georgia,17.18518519,6.204010965,9.8,9.106461538,6.887109271,3.3,19.7,6.010271903,5.690322581,South,Hispanic
Idaho,26.31995396,12.28448276,12.9,14.5806338,12.65677653,4.4,18.6,9.783221477,11.61,West,Hispanic
Illinois,34.21453249,20.32453887,17.6,20.31194969,20.2025843,7.6,13.6,14.04720497,11.23855422,Midwest,Hispanic
Indiana,10.80367945,2.496839444,7.2,8.297947214,5.759752022,2.4,15.3,4.275,5.367272727,Midwest,Hispanic
Iowa,15.48931263,6.202849958,6.3,6.674787535,5.53398942,1.7,18.4,4.28,2.333333333,Midwest,Hispanic
Kansas,29.8959929,14.59968603,12.2,13.47674419,10.42834783,4.1,20.8,8.517682927,6.579775281,Midwest,Hispanic
Kentucky,10.03095044,3.451492537,3.7,3.44726776,0.836565908,1.1,21.1,1.098730964,NA,South,Hispanic
Maine,4.148871263,0,1.7,1.112828947,1.67524044,0.6,9.2,1.538793103,1.635849057,Northeast,Hispanic
Maryland,25.46301106,11.50330117,10.6,10.56569579,6.671983273,3.8,11.6,5.430864198,6.609411765,South,Hispanic
Massachusetts,31.73526904,6.936908182,12.4,14.57120623,18.06657006,5,19.2,9.581818182,10.36164384,Northeast,Hispanic
Michigan,8.531640805,2.930084131,5.3,5.701515152,4.748444299,1.9,19.8,3.650432277,4.218367347,Midwest,Hispanic
Minnesota,16.98473282,4.787759131,5.6,6.102325581,5.674116341,1.5,14.8,3.684210526,3.528767123,Midwest,Hispanic
Mississippi,3.433057753,1.308539945,3,1.929113924,NA,1.2,30.8,2.919117647,NA,South,Hispanic
Missouri,9.487031565,3.46907994,4.3,6.253428571,6.016299818,1.5,17.7,1.7871875,6.258415842,Midwest,Hispanic
Nebraska,35.2889281,20.4954955,11.3,11.36627566,10.18050191,3.4,19.8,7.681045752,5.794871795,Midwest,Hispanic
Nevada,45.250322,23.4911792,29.3,33.27288136,29.90854159,12.4,16.8,21.03128834,19.21827957,West,Hispanic
New Hampshire,14.00410678,2.803738318,3.9,NA,3.058477596,1.2,10.9,NA,NA,Northeast,Hispanic
New Jersey,29.38262737,20.14679828,21,21.4921875,17.84264135,11,15.7,17.43636364,17.11111111,Northeast,Hispanic
New Mexico,49.65468848,24.28407789,49.5,57.92879257,53.22823292,34.1,20.8,46.90327869,41.04878049,West,Hispanic
North Carolina,28.34133173,8.769322235,9.7,8.994545455,5.652882414,2.5,21.6,5.506916427,2.662745098,South,Hispanic
Ohio,6.829654849,2.220812183,4,5.094117647,2.940188498,1.4,23.7,3.239193084,4.388349515,Midwest,Hispanic
Oklahoma,20.0401028,6.666666667,11.1,10.36637931,6.756004024,3.2,22.1,7.831830239,4.975862069,South,Hispanic
Oregon,43.71828699,15.85365854,13.4,15.59598662,11.54248356,4,16.1,9.037209302,11.00210526,West,Hispanic
Pennsylvania,15.05705184,5.84086128,7.8,8.809708738,7.654680557,2.6,27.1,4.617791411,7.327272727,Northeast,Hispanic
Rhode Island,45.12244079,11.66116612,16.6,19.2967509,16.83390946,6,21.9,11.68519637,10.64565217,Northeast,Hispanic
South Carolina,10.902372,3.597371152,5.7,4.603206997,2.088192073,1.8,21.3,2.902362205,NA,South,Hispanic
South Dakota,6.954307919,2.69058296,3.7,3.269767442,2.813272794,1,NA,NA,NA,Midwest,Hispanic
Tennessee,14.94358738,6.096563011,5.7,5.617151163,0.881519493,1.5,24.9,1.9,NA,South,Hispanic
Texas,45.00764137,56.1250407,40,44.36781609,39.70562944,24.2,18.7,27.93846154,31.20879121,South,Hispanic
Utah,35.21398414,23.50230415,14.4,15.59566787,15.80406439,6.5,15.8,12.1077551,9.274576271,West,Hispanic
Vermont,3.384968445,0,1.8,NA,0.187064334,0.8,11.8,NA,NA,Northeast,Hispanic
Virginia,29.79873244,9.983844911,9.6,8.776237624,5.999023275,3.5,12.5,5.837037037,4.214634146,South,Hispanic
Washington,41.23796101,14.13512218,13,16.66898955,13.97695731,4,16.3,8.372881356,6.833333333,West,Hispanic
Wisconsin,18.00192762,11.63498099,7.1,8.9415625,7.539863676,2,19.4,5.20974026,NA,Midwest,Hispanic
Wyoming,14.59200666,4.87804878,10.1,11.80655172,15.92951768,4.8,14.5,8.853896104,6.109876543,West,Hispanic
