"","State","Region","Race","Population","Group"
"1","Alabama","South","NHW",65.4,"Population"
"2","Alaska","West","NHW",60,"Population"
"3","Arizona","West","NHW",54.2,"Population"
"4","Arkansas","South","NHW",72.1,"Population"
"5","California","West","NHW",36.4,"Population"
"6","Colorado","West","NHW",67.8,"Population"
"7","Connecticut","Northeast","NHW",65.7,"Population"
"8","Delaware","South","NHW",61.4,"Population"
"9","District of Columbia","South","NHW",36.7,"Population"
"10","Florida","South","NHW",53,"Population"
"11","Georgia","South","NHW",52,"Population"
"12","Hawaii","West","NHW",20.4,"Population"
"13","Idaho","West","NHW",81.6,"Population"
"14","Illinois","Midwest","NHW",60.9,"Population"
"15","Indiana","Midwest","NHW",78.6,"Population"
"16","Iowa","Midwest","NHW",85.3,"Population"
"17","Kansas","Midwest","NHW",75.7,"Population"
"18","Kentucky","South","NHW",84.5,"Population"
"19","Louisiana","South","NHW",58.8,"Population"
"20","Maine","Northeast","NHW",93.2,"Population"
"21","Maryland","South","NHW",49.9,"Population"
"22","Massachusetts","Northeast","NHW",70.5,"Population"
"23","Michigan","Midwest","NHW",74.9,"Population"
"24","Minnesota","Midwest","NHW",79.1,"Population"
"25","Mississippi","South","NHW",56.6,"Population"
"26","Missouri","Midwest","NHW",79.4,"Population"
"27","Montana","West","NHW",86.1,"Population"
"28","Nebraska","Midwest","NHW",78.5,"Population"
"29","Nevada","West","NHW",47.8,"Population"
"30","New Hampshire","Northeast","NHW",89.8,"Population"
"31","New Jersey","Northeast","NHW",54.5,"Population"
"32","New Mexico","West","NHW",36.7,"Population"
"33","North Carolina","South","NHW",62.7,"Population"
"34","Ohio","Midwest","NHW",78.6,"Population"
"35","Oklahoma","South","NHW",65,"Population"
"36","Oregon","West","NHW",75,"Population"
"37","Pennsylvania","Northeast","NHW",76,"Population"
"38","Rhode Island","Northeast","NHW",70.5,"Population"
"39","South Carolina","South","NHW",63.7,"Population"
"40","South Dakota","Midwest","NHW",81.9,"Population"
"41","Tennessee","South","NHW",73.6,"Population"
"42","Texas","South","NHW",41.1,"Population"
"43","Utah","West","NHW",77.8,"Population"
"44","Vermont","Northeast","NHW",92.8,"Population"
"45","Virginia","South","NHW",61.3,"Population"
"46","Washington","West","NHW",67.5,"Population"
"47","West Virginia","South","NHW",92.5,"Population"
"48","Wisconsin","Midwest","NHW",81.1,"Population"
"49","Wyoming","West","NHW",83.8,"Population"
"50","Alabama","South","NHB",26.5,"Population"
"51","Alaska","West","NHB",2.2,"Population"
"52","Arizona","West","NHB",4.3,"Population"
"53","Arkansas","South","NHB",15.2,"Population"
"54","California","West","NHB",5.3,"Population"
"55","Colorado","West","NHB",3.8,"Population"
"56","Connecticut","Northeast","NHB",10,"Population"
"57","Delaware","South","NHB",21.8,"Population"
"58","District of Columbia","South","NHB",45,"Population"
"59","Florida","South","NHB",15,"Population"
"60","Georgia","South","NHB",31.3,"Population"
"61","Hawaii","West","NHB",1.2,"Population"
"62","Idaho","West","NHB",0.7,"Population"
"63","Illinois","Midwest","NHB",13.6,"Population"
"64","Indiana","Midwest","NHB",9.2,"Population"
"65","Iowa","Midwest","NHB",3.9,"Population"
"66","Kansas","Midwest","NHB",5.5,"Population"
"67","Kentucky","South","NHB",8,"Population"
"68","Louisiana","South","NHB",31.9,"Population"
"69","Maine","Northeast","NHB",1.4,"Population"
"70","Maryland","South","NHB",29.6,"Population"
"71","Massachusetts","Northeast","NHB",7,"Population"
"72","Michigan","Midwest","NHB",13.4,"Population"
"73","Minnesota","Midwest","NHB",6.4,"Population"
"74","Mississippi","South","NHB",37.6,"Population"
"75","Missouri","Midwest","NHB",11.2,"Population"
"76","Nebraska","Midwest","NHB",4.8,"Population"
"77","Nevada","West","NHB",9.2,"Population"
"78","New Hampshire","Northeast","NHB",1.3,"Population"
"79","New Jersey","Northeast","NHB",12.4,"Population"
"80","New Mexico","West","NHB",1.7,"Population"
"81","North Carolina","South","NHB",20.9,"Population"
"82","Ohio","Midwest","NHB",12.2,"Population"
"83","Oklahoma","South","NHB",6.9,"Population"
"84","Oregon","West","NHB",1.8,"Population"
"85","Pennsylvania","Northeast","NHB",10.4,"Population"
"86","Rhode Island","Northeast","NHB",5.9,"Population"
"87","South Carolina","South","NHB",26.2,"Population"
"88","South Dakota","Midwest","NHB",2.2,"Population"
"89","Tennessee","South","NHB",16.4,"Population"
"90","Texas","South","NHB",11.7,"Population"
"91","Utah","West","NHB",1,"Population"
"92","Virginia","South","NHB",18.9,"Population"
"93","Washington","West","NHB",3.8,"Population"
"94","West Virginia","South","NHB",3.2,"Population"
"95","Wisconsin","Midwest","NHB",6.2,"Population"
"96","Wyoming","West","NHB",1,"Population"
"97","Alabama","South","Hispanic",4.4,"Population"
"98","Alaska","West","Hispanic",7,"Population"
"99","Arizona","West","Hispanic",31.8,"Population"
"100","Arkansas","South","Hispanic",7.8,"Population"
"101","California","West","Hispanic",39.5,"Population"
"102","Colorado","West","Hispanic",21.8,"Population"
"103","Connecticut","Northeast","Hispanic",16.9,"Population"
"104","Delaware","South","Hispanic",9.7,"Population"
"105","District of Columbia","South","Hispanic",11.2,"Population"
"106","Florida","South","Hispanic",26.6,"Population"
"107","Georgia","South","Hispanic",9.8,"Population"
"108","Hawaii","West","Hispanic",10.3,"Population"
"109","Idaho","West","Hispanic",12.9,"Population"
"110","Illinois","Midwest","Hispanic",17.6,"Population"
"111","Indiana","Midwest","Hispanic",7.2,"Population"
"112","Iowa","Midwest","Hispanic",6.3,"Population"
"113","Kansas","Midwest","Hispanic",12.2,"Population"
"114","Kentucky","South","Hispanic",3.7,"Population"
