State,Region,Race,Population,Group
Alabama,South,NHW,56.17150281507146,Mortality
Alaska,West,NHW,41.81818181818181,Mortality
Arizona,West,NHW,47.15025906735752,Mortality
Arkansas,South,NHW,67.07416462917686,Mortality
California,West,NHW,30.020623872131992,Mortality
Colorado,West,NHW,63.66943866943867,Mortality
Connecticut,Northeast,NHW,73.80206000895656,Mortality
Delaware,South,NHW,64.62264150943396,Mortality
District of Columbia,South,NHW,10.789049919484702,Mortality
Florida,South,NHW,49.93806019092035,Mortality
Georgia,South,NHW,50.050497763670464,Mortality
Hawaii,West,NHW,10.077519379844961,Mortality
Idaho,West,NHW,95.6896551724138,Mortality
Illinois,Midwest,NHW,48.42400186784964,Mortality
Indiana,Midwest,NHW,70.98609355246523,Mortality
Iowa,Midwest,NHW,91.11483654652137,Mortality
Kansas,Midwest,NHW,75.98116169544741,Mortality
Kentucky,South,NHW,83.5820895522388,Mortality
Louisiana,South,NHW,52.61671686746988,Mortality
Maine,Northeast,NHW,96.8,Mortality
Maryland,South,NHW,42.71203656678517,Mortality
Massachusetts,Northeast,NHW,76.00808596659219,Mortality
Michigan,Midwest,NHW,55.84566289527125,Mortality
Minnesota,Midwest,NHW,77.98617966436328,Mortality
Mississippi,South,NHW,47.107438016528924,Mortality
Missouri,Midwest,NHW,66.36500754147812,Mortality
Montana,West,NHW,62.99212598425197,Mortality
Nebraska,Midwest,NHW,83.33333333333334,Mortality
Nevada,West,NHW,50.603528319405754,Mortality
New Hampshire,Northeast,NHW,93.92523364485982,Mortality
New Jersey,Northeast,NHW,54.39129334345735,Mortality
New Mexico,West,NHW,24.054982817869416,Mortality
North Carolina,South,NHW,60.315101070154576,Mortality
Ohio,Midwest,NHW,78.51099830795262,Mortality
Oklahoma,South,NHW,76.66666666666667,Mortality
Oregon,West,NHW,75,Mortality
Pennsylvania,Northeast,NHW,72.55290186858062,Mortality
Rhode Island,Northeast,NHW,80.52805280528052,Mortality
South Carolina,South,NHW,56.3472846765825,Mortality
South Dakota,Midwest,NHW,66.81614349775785,Mortality
Tennessee,South,NHW,67.22585924713584,Mortality
Texas,South,NHW,30.146532074242916,Mortality
Utah,West,NHW,55.06912442396313,Mortality
Vermont,Northeast,NHW,94.82758620689656,Mortality
Virginia,South,NHW,56.31663974151858,Mortality
Washington,West,NHW,67.75275515093435,Mortality
West Virginia,South,NHW,82.94797687861272,Mortality
Wisconsin,Midwest,NHW,76.04562737642586,Mortality
Wyoming,West,NHW,56.09756097560976,Mortality
Alabama,South,NHB,41.0134257254223,Mortality
Alaska,West,NHB,3.63636363636364,Mortality
Arizona,West,NHB,3.56715823037067,Mortality
Arkansas,South,NHB,21.841890790546,Mortality
California,West,NHB,7.64372260891982,Mortality
Colorado,West,NHB,6.39293139293139,Mortality
Connecticut,Northeast,NHB,14.8231079265562,Mortality
Delaware,South,NHB,25.6289308176101,Mortality
