State,NHW % known Cases,NHW % known Death,Poulation,Obesity,Diabetes,Over60,Poverty,High_BP,CVD,Region,Race
Alabama,50.91863234,56.17150282,65.4,61.78674033,65.50175883,75.6,11.5,63.21479714,69.9627907,South,NHW
Alaska,45.00397141,41.81818182,60,59.38983051,65.67574293,74.2,6.9,60.37735849,58.26086957,West,NHW
Arizona,36.20052313,47.15025907,54.2,50.52542373,68.18078628,77.5,9.2,60.90879479,64.69032258,West,NHW
Arkansas,63.73357244,67.07416463,72.1,69.37924528,75.60830192,84,13.4,73.3220339,75.37727273,South,NHW
California,17.14476944,30.02062387,36.4,32.16744186,46.29243263,54.9,8.4,40.11690141,43.46268657,West,NHW
Colorado,44.78243007,63.66943867,67.8,63.0628821,76.56249963,82.4,7,69.63243243,70.06,West,NHW
Connecticut,49.29577465,73.80206001,65.7,62.58284672,69.99935249,82.8,5.8,68.50032787,73.584,Northeast,NHW
Delaware,39.95787256,64.62264151,61.4,59.3838806,67.18005008,78,7.3,64.03896848,70.84615385,South,NHW
District of Columbia,21.8864709,10.78904992,36.7,18.2757085,10.62906217,32.7,5.1,24.46666667,16.6296875,South,NHW
Florida,33.99683435,49.93806019,53,48.33876221,72.17623777,71.3,9.2,59.5867052,60.22727273,South,NHW
Georgia,41.77946128,50.05049776,52,47.52,55.00123084,67.7,9.1,54.98489426,57.59139785,South,NHW
Hawaii,15.94401339,10.07751938,20.4,14.91084337,NA,27.1,10.1,17,19.84864865,West,NHW
Idaho,74.71227162,95.68965517,81.6,80.16338028,86.73158635,92.3,9.6,84.88590604,82.62,West,NHW
Illinois,39.47574727,48.42400187,60.9,58.60188679,67.08913786,75.1,7.9,63.73695652,68.2373494,Midwest,NHW
Indiana,68.39931584,70.98609355,78.6,77.44750733,84.08890715,89,10,79.26988636,80.02909091,Midwest,NHW
Iowa,84.59919007,91.11483655,85.3,84.57507082,88.97364052,95.4,9.9,87.73714286,87.40617284,Midwest,NHW
Kansas,80.63976457,75.9811617,75.7,74.37965116,80.76269487,88.7,8.9,78.70030488,79.95280899,Midwest,NHW
Kentucky,80.46038774,83.58208955,84.5,84.96174863,87.97065572,91.3,15,85.35786802,85.84126984,South,NHW
Louisiana,43.53386925,52.61671687,58.8,52.72826087,56.13784979,68.8,12.5,57.44307692,63.40173913,South,NHW
Maine,73.90685377,96.8,93.2,92.58684211,93.09314291,97.2,10.2,94.00344828,92.32075472,Northeast,NHW
Maryland,29.58831918,42.71203657,49.9,46.50873786,49.07997281,64,6.2,51.13209877,55.77058824,South,NHW
Massachusetts,43.35468708,76.00808597,70.5,71.87159533,71.60304262,85.4,6.5,75.18356643,76.29452055,Northeast,NHW
Michigan,58.56157939,55.8456629,74.9,73.53818182,75.55011988,84.5,9.9,73.82074928,74.9,Midwest,NHW
Minnesota,54.14854429,77.98617966,79.1,78.8372093,79.28889487,92.8,6.6,82.96578947,81.26712329,Midwest,NHW
Mississippi,42.0650687,47.10743802,56.6,52.01468354,54.78073489,68.3,11.7,52.71568627,58.55172414,South,NHW
Missouri,71.18099297,66.36500754,79.4,75.08971429,76.85947415,87.6,11,79.89625,77.04158416,Midwest,NHW
Montana,71.92797849,62.99212598,86.1,82.89925651,83.25981856,93.6,10.9,87.28758621,83.23,West,NHW
Nebraska,81.16453463,83.33333333,78.5,78.03958944,84.38740703,91.8,8.1,80.03921569,83.53205128,Midwest,NHW
Nevada,28.27057859,50.60352832,47.8,44.72135593,59.14658795,69,9.9,52.93190184,57.0516129,West,NHW
New Hampshire,74.12731006,93.92523364,89.8,91.01351351,93.46068278,96,7.3,92.19466667,90.95128205,Northeast,NHW
New Jersey,37.90807126,54.39129334,54.5,55.56445313,64.66192668,70.5,5.6,56.6469697,63.24691358,Northeast,NHW
New Mexico,16.06529527,24.05498282,36.7,28.97368421,57.36106893,56.5,11.4,41.03180328,44.75609756,West,NHW
North Carolina,58.02519496,60.31510107,62.7,55.86,66.48537292,76.4,9.5,62.88069164,70.69117647,South,NHW
Ohio,63.93519606,78.51099831,78.6,78.6,81.53006423,87,10,79.50605187,78.6,Midwest,NHW
Oklahoma,70.27591855,76.66666667,65,64.62643678,73.00309454,81.1,12.4,67.24137931,70.60344828,South,NHW
Oregon,47.58473716,75,75,74.24749164,83.54842893,89.5,10.1,80.48172757,77.36842105,West,NHW
Pennsylvania,70.77555749,72.55290187,76,73.54045307,74.69400387,87.2,8.7,77.63190184,75.23232323,Northeast,NHW
Rhode Island,37.83119229,80.52805281,70.5,66.68231047,76.53145657,87.6,7.1,74.97280967,75.09782609,Northeast,NHW
South Carolina,53.54861704,56.34728468,63.7,59.61428571,61.68989768,74.7,9.2,61.35931759,66.79223301,South,NHW
South Dakota,61.54361517,66.8161435,81.9,79.17906977,81.3614752,93.6,7.7,82.96363636,86.4,Midwest,NHW
Tennessee,63.75659033,67.22585925,73.6,71.24651163,80.56855714,84.2,11.2,73.98036176,76.59186992,South,NHW
Texas,33.91280353,30.14653207,41.1,39.09224138,73.94899269,60.6,7.9,47.676,47.87472527,South,NHW
Utah,53.8088874,55.06912442,77.8,76.11480144,84.20396939,89.1,7.4,80.02285714,84.39322034,West,NHW
Vermont,83.93574297,94.82758621,92.8,94.48727273,94.78964651,96.7,9.8,94.02105263,92.8,Northeast,NHW
Virginia,36.86622131,56.31663974,61.3,59.27689769,62.48793541,73.9,7.7,61.48919753,69.52317073,South,NHW
Washington,39.25635088,67.75275515,67.5,69.14634146,74.21103619,83.9,8.1,74.13559322,74.42307692,West,NHW
West Virginia,78.21807168,82.94797688,92.5,93.43670886,94.22199418,95.3,15,93.56321839,93.69354839,South,NHW
Wisconsin,77.42295915,76.04562738,81.1,79.579375,84.26551429,92.4,7.5,83.99642857,84.344,Midwest,NHW
Wyoming,68.9009159,56.09756098,83.8,82.0662069,83.54935738,91.8,8.8,84.07207792,84.8345679,West,NHW
