State,Region,Race,Population,Group
Alabama,South,NHW,65.4,Population
Alaska,West,NHW,60,Population
Arizona,West,NHW,54.2,Population
Arkansas,South,NHW,72.1,Population
California,West,NHW,36.4,Population
Colorado,West,NHW,67.80000000000001,Population
Connecticut,Northeast,NHW,65.7,Population
Delaware,South,NHW,61.4,Population
District of Columbia,South,NHW,36.7,Population
Florida,South,NHW,53,Population
Georgia,South,NHW,52,Population
Hawaii,West,NHW,20.4,Population
Idaho,West,NHW,81.6,Population
Illinois,Midwest,NHW,60.9,Population
Indiana,Midwest,NHW,78.60000000000001,Population
Iowa,Midwest,NHW,85.3,Population
Kansas,Midwest,NHW,75.7,Population
Kentucky,South,NHW,84.5,Population
Louisiana,South,NHW,58.8,Population
Maine,Northeast,NHW,93.2,Population
Maryland,South,NHW,49.9,Population
Massachusetts,Northeast,NHW,70.5,Population
Michigan,Midwest,NHW,74.9,Population
Minnesota,Midwest,NHW,79.10000000000001,Population
Mississippi,South,NHW,56.599999999999994,Population
Missouri,Midwest,NHW,79.4,Population
Montana,West,NHW,86.1,Population
Nebraska,Midwest,NHW,78.5,Population
Nevada,West,NHW,47.8,Population
New Hampshire,Northeast,NHW,89.8,Population
New Jersey,Northeast,NHW,54.50000000000001,Population
New Mexico,West,NHW,36.7,Population
North Carolina,South,NHW,62.7,Population
Ohio,Midwest,NHW,78.60000000000001,Population
Oklahoma,South,NHW,65,Population
Oregon,West,NHW,75,Population
Pennsylvania,Northeast,NHW,76,Population
Rhode Island,Northeast,NHW,70.5,Population
South Carolina,South,NHW,63.7,Population
South Dakota,Midwest,NHW,81.89999999999999,Population
Tennessee,South,NHW,73.6,Population
Texas,South,NHW,41.099999999999994,Population
Utah,West,NHW,77.8,Population
Vermont,Northeast,NHW,92.80000000000001,Population
Virginia,South,NHW,61.3,Population
Washington,West,NHW,67.5,Population
West Virginia,South,NHW,92.5,Population
Wisconsin,Midwest,NHW,81.10000000000001,Population
Wyoming,West,NHW,83.8,Population
Alabama,South,NHB,26.5,Population
Alaska,West,NHB,2.2,Population
Arizona,West,NHB,4.3,Population
Arkansas,South,NHB,15.2,Population
California,West,NHB,5.3,Population
Colorado,West,NHB,3.8,Population
Connecticut,Northeast,NHB,10,Population
Delaware,South,NHB,21.8,Population
District of Columbia,South,NHB,45,Population
Florida,South,NHB,15,Population
Georgia,South,NHB,31.3,Population
Hawaii,West,NHB,1.2,Population
Idaho,West,NHB,0.7,Population
Illinois,Midwest,NHB,13.6,Population
Indiana,Midwest,NHB,9.2,Population
Iowa,Midwest,NHB,3.9,Population
Kansas,Midwest,NHB,5.5,Population
Kentucky,South,NHB,8,Population
Louisiana,South,NHB,31.9,Population
Maine,Northeast,NHB,1.4,Population
Maryland,South,NHB,29.6,Population
Massachusetts,Northeast,NHB,7,Population
Michigan,Midwest,NHB,13.4,Population
Minnesota,Midwest,NHB,6.4,Population
Mississippi,South,NHB,37.6,Population
Missouri,Midwest,NHB,11.2,Population
Nebraska,Midwest,NHB,4.8,Population
Nevada,West,NHB,9.2,Population
New Hampshire,Northeast,NHB,1.3,Population
New Jersey,Northeast,NHB,12.4,Population
