long,lat,order,hole,piece,id,group
-85.07006728,31.98070336,1,FALSE,1,alabama,Alabama.1
-85.11515028,31.90742436,2,FALSE,1,alabama,Alabama.1
-85.13556728,31.85488436,3,FALSE,1,alabama,Alabama.1
-85.13156128,31.78381436,4,FALSE,1,alabama,Alabama.1
-85.13016528,31.77885336,5,FALSE,1,alabama,Alabama.1
-85.11528728,31.73156636,6,FALSE,1,alabama,Alabama.1
-85.11867428,31.70857136,7,FALSE,1,alabama,Alabama.1
-85.11120528,31.68424236,8,FALSE,1,alabama,Alabama.1
-85.05928528,31.62126536,9,FALSE,1,alabama,Alabama.1
-85.04272128,31.55438936,10,FALSE,1,alabama,Alabama.1
-85.04269828,31.51966036,11,FALSE,1,alabama,Alabama.1
-85.06631228,31.47608936,12,FALSE,1,alabama,Alabama.1
-85.06140628,31.44066336,13,FALSE,1,alabama,Alabama.1
-85.08794228,31.36723436,14,FALSE,1,alabama,Alabama.1
-85.08256328,31.33233436,15,FALSE,1,alabama,Alabama.1
-85.08122828,31.30308036,16,FALSE,1,alabama,Alabama.1
-85.10336128,31.27143636,17,FALSE,1,alabama,Alabama.1
-85.09360328,31.22707436,18,FALSE,1,alabama,Alabama.1
-85.10295728,31.19692236,19,FALSE,1,alabama,Alabama.1
-85.09336728,31.17221136,20,FALSE,1,alabama,Alabama.1
-85.06866228,31.16236436,21,FALSE,1,alabama,Alabama.1
-85.03806828,31.12671336,22,FALSE,1,alabama,Alabama.1
-85.01699528,31.08010236,23,FALSE,1,alabama,Alabama.1
-85.00160728,31.00125336,24,FALSE,1,alabama,Alabama.1
-85.48501028,31.00100136,25,FALSE,1,alabama,Alabama.1
-85.48659728,31.00099836,26,FALSE,1,alabama,Alabama.1
-86.03182228,30.99332736,27,FALSE,1,alabama,Alabama.1
-86.18147628,30.99522536,28,FALSE,1,alabama,Alabama.1
-86.38391928,30.99153836,29,FALSE,1,alabama,Alabama.1
-86.70185228,30.99809236,30,FALSE,1,alabama,Alabama.1
-86.77936128,30.99819136,31,FALSE,1,alabama,Alabama.1
-87.16311728,31.00315736,32,FALSE,1,alabama,Alabama.1
